iter	Passed	Remaining
534	4718	4101
535	4725	4090
536	4732	4080
537	4738	4069
538	4746	4059
539	4753	4049
540	4760	4039
541	4767	4028
542	4775	4018
543	4782	4008
544	4789	3998
545	4795	3987
546	4802	3977
547	4809	3966
548	4816	3956
549	4823	3946
550	4829	3935
551	4837	3925
552	4843	3915
553	4851	3905
554	4858	3895
555	4865	3885
556	4873	3876
557	4881	3866
558	4887	3856
559	4894	3845
560	4900	3834
561	4907	3824
562	4914	3814
563	4921	3804
564	4928	3794
565	4934	3784
566	4942	3774
567	4949	3764
568	4957	3754
569	4964	3745
570	4972	3736
571	4979	3725
572	4986	3716
573	4994	3706
574	5002	3697
575	5008	3686
576	5015	3676
577	5022	3666
578	5029	3657
579	5037	3647
580	5044	3637
581	5051	3628
582	5058	3618
583	5065	3608
584	5072	3598
585	5079	3588
586	5086	3578
587	5094	3569
588	5101	3560
589	5111	3552
590	5120	3543
591	5128	3534
592	5135	3525
593	5142	3514
594	5150	3505
595	5157	3496
596	5165	3486
597	5172	3476
598	5178	3467
599	5185	3456
600	5192	3446
601	5199	3437
602	5205	3427
603	5212	3417
604	5218	3407
605	5225	3397
606	5232	3388
607	5239	3378
608	5247	3368
609	5253	3358
610	5261	3350
611	5269	3340
612	5278	3332
613	5285	3322
614	5294	3314
615	5303	3305
616	5311	3296
617	5317	3287
618	5323	3276
619	5330	3267
620	5338	3258
621	5345	3248
622	5351	3238
623	5357	3228
624	5365	3219
625	5372	3209
626	5378	3199
627	5385	3190
628	5392	3180
629	5399	3171
630	5406	3161
631	5413	3152
632	5420	3142
633	5427	3133
634	5433	3123
635	5440	3113
636	5447	3104
637	5454	3095
638	5463	3086
639	5470	3077
640	5477	3067
641	5483	3057
642	5491	3048
643	5497	3039
644	5505	3030
645	5512	3020
646	5520	3012
647	5528	3003
648	5536	2994
649	5543	2984
650	5550	2975
651	5559	2967
652	5567	2958
653	5576	2950
654	5584	2941
655	5592	2932
656	5600	2923
657	5609	2915
658	5617	2906
659	5626	2898
660	5634	2889
661	5642	2881
662	5651	2872
663	5659	2864
664	5669	2856
665	5677	2847
666	5687	2839
667	5695	2830
668	5703	2822
669	5711	2813
670	5720	2804
671	5728	2796
672	5737	2787
673	5745	2779
674	5754	2770
675	5764	2762
676	5771	2753
677	5780	2745
678	5789	2737
679	5797	2728
680	5805	2719
681	5814	2711
682	5824	2703
683	5832	2694
684	5842	2686
685	5850	2677
686	5858	2669
687	5867	2660
688	5875	2652
689	5883	2643
690	5891	2634
691	5900	2626
692	5907	2617
693	5916	2608
694	5924	2600
695	5933	2591
696	5940	2582
697	5949	2573
698	5957	2565
699	5966	2556
700	5975	2548
701	5982	2539
702	5990	2530
703	5998	2521
704	6006	2513
705	6016	2505
706	6024	2496
707	6033	2488
708	6042	2479
709	6051	2471
710	6059	2462
711	6067	2454
712	6076	2446
713	6083	2436
714	6091	2428
715	6099	2419
716	6108	2410
717	6116	2402
718	6123	2393
719	6134	2385
720	6143	2377
721	6151	2368
722	6159	2359
723	6167	2351
724	6175	2342
725	6183	2333
726	6191	2325
727	6199	2316
728	6206	2307
729	6215	2298
730	6224	2290
731	6232	2281
732	6241	2273
733	6249	2264
734	6260	2257
735	6268	2248
736	6277	2240
737	6285	2231
738	6294	2223
739	6302	2214
740	6309	2205
741	6317	2196
742	6324	2187
743	6332	2179
744	6341	2170
745	6349	2161
746	6357	2153
747	6365	2144
748	6373	2135
749	6380	2126
750	6388	2118
751	6397	2109
752	6405	2101
753	6414	2092
754	6422	2084
755	6431	2075
756	6438	2066
757	6446	2058
758	6455	2049
759	6464	2041
760	6473	2032
761	6483	2024
762	6490	2016
763	6500	2007
764	6507	1999
765	6516	1990
766	6523	1981
767	6531	1973
768	6538	1964
769	6548	1956
770	6556	1947
771	6563	1938
772	6570	1929
773	6577	1920
774	6584	1911
775	6591	1902
776	6598	1893
777	6606	1885
778	6615	1876
779	6622	1867
780	6630	1859
781	6637	1850
782	6645	1841
783	6654	1833
784	6662	1824
785	6671	1816
786	6682	1808
787	6691	1800
788	6698	1791
789	6706	1782
790	6714	1774
791	6721	1765
792	6728	1756
793	6735	1747
794	6743	1738
795	6750	1730
796	6757	1721
797	6765	1712
798	6771	1703
799	6779	1694
800	6786	1686
801	6793	1677
802	6800	1668
803	6808	1659
804	6814	1650
805	6821	1641
806	6829	1633
807	6836	1624
808	6844	1615
809	6851	1607
810	6858	1598
811	6866	1589
812	6874	1581
813	6882	1572
814	6891	1564
815	6898	1555
816	6906	1546
817	6913	1538
818	6920	1529
819	6928	1520
820	6936	1512
821	6943	1503
822	6951	1494
823	6958	1486
824	6966	1477
825	6972	1468
826	6980	1460
827	6988	1451
828	6995	1443
829	7003	1434
830	7010	1425
831	7017	1417
832	7025	1408
833	7033	1399
834	7043	1391
835	7053	1383
836	7061	1375
837	7068	1366
838	7075	1357
839	7083	1349
840	7090	1340
841	7098	1331
842	7105	1323
843	7112	1314
844	7119	1305
845	7126	1297
846	7133	1288
847	7140	1279
848	7147	1271
849	7154	1262
850	7162	1254
851	7169	1245
852	7176	1236
853	7184	1228
854	7192	1219
855	7199	1211
856	7206	1202
857	7214	1194
858	7221	1185
859	7228	1176
860	7234	1168
861	7241	1159
862	7248	1150
863	7255	1142
864	7263	1133
865	7270	1125
866	7279	1116
867	7287	1108
868	7294	1099
869	7300	1090
870	7307	1082
871	7315	1073
872	7322	1065
873	7329	1056
874	7336	1048
875	7344	1039
876	7350	1030
877	7358	1022
878	7367	1014
879	7374	1005
880	7381	997
881	7388	988
882	7395	979
883	7403	971
884	7412	963
885	7419	954
886	7427	946
887	7434	937
888	7441	929
889	7448	920
890	7454	911
891	7461	903
892	7467	894
893	7474	886
894	7482	877
895	7489	869
896	7496	860
897	7503	852
898	7510	843
899	7517	835
900	7524	826
901	7530	818
902	7539	809
903	7549	801
904	7558	793
905	7566	785
906	7573	776
907	7580	768
908	7586	759
909	7592	750
910	7599	742
911	7606	733
912	7614	725
913	7634	718
914	7640	709
915	7647	701
916	7654	692
